UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Trades
80,156,-0.4,26,10,0.7045696957060649,1.107760709659246,0.1395270738133736,-0.9971652515667463,1.633675165661606,0.5123865210032312,6499
60,52,-0.6,26,3,0.6890161697527409,1.0344275547732675,0.13640821460288532,-0.9988152366443162,1.5806988436201221,0.49941474834178695,5126
40,104,-0.4,52,10,0.6851569519303038,1.0563432428855115,-0.02249208518176604,-0.9989561465769871,-0.15520606471999943,0.49532085561497324,2992
60,104,-0.8,52,5,0.677868230832156,1.0937082666887648,0.2022431138536358,-0.9796292941223108,2.9180582896451273,0.5142105263157895,1900
80,208,-0.6,52,10,0.6747260605537981,1.1276875507217363,0.03235597527904566,-0.999521929748061,0.26628982070149343,0.5113977204559088,3334
60,52,-0.6,26,5,0.6729651249083839,1.0097319692676612,0.13938898935454902,-0.9978281121842467,1.631309943026495,0.5051695616211745,4836
80,208,-0.6,26,3,0.667246513622396,1.070611546890056,0.1359488879135129,-0.9972092786657417,1.5729752366589347,0.5046470239272296,5057
20,52,-0.4,26,10,0.6646570559690732,1.010017128880322,0.20628823741213687,-0.9874116261948416,3.0168585907685985,0.5155528179858331,3247
60,156,-0.6,52,3,0.6546758570588259,1.0088191948406138,0.047448516309225974,-0.9977468349770039,0.4101514079510191,0.5048772283888329,2973
60,52,-0.6,26,10,0.6538655584117856,0.9781631566802865,0.11344107197882658,-0.9972328771170452,1.218173745679131,0.5041130563172327,4741
80,104,-0.6,52,3,0.6534834867920661,1.0416220544107495,-0.10808684178476935,-0.9998313735642012,-0.5717606439896521,0.5154185022026432,4086
40,52,-0.2,26,10,0.6528308589820229,0.9576791609895278,-0.03798580803322982,-0.9992173064980194,-0.2495775740363534,0.49750800996796013,5618
40,208,-0.2,26,3,0.6495444149287867,1.030897715295824,0.06151147017264402,-0.9991918011769685,0.5567119239645852,0.5033216100039077,5118
