ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
252,-0.5,26,13,5,-0.15396159267394527,-0.04256222096036044,-2.9048970420772218,-0.1615998732669377,1.0680907877169559,192
1000,-0.3,6,26,5,-0.07747938504496055,-0.020761359840059113,-2.9078892856868266,-0.08043300018834987,0.5201560468140443,88
1000,-0.7,13,8,10,-0.13453199470222255,-0.03689002919712103,-2.9138777112165046,-0.13567208507197404,0.6746337702390132,124
500,-0.3,13,26,5,-0.09348780191615658,-0.025210654045857983,-2.9773376707276675,-0.09542676800095418,0.6955715279387897,109
252,-0.5,6,26,10,-0.08386778417224516,-0.022530015191445263,-3.0071855513997776,-0.091882263172823,0.4757964418700869,108
252,-0.5,6,4,10,-0.37901517974342436,-0.11657414305521208,-3.013511482860065,-0.40159813492657603,3.3153820262537868,538
500,-0.7,26,13,5,-0.1108850570520098,-0.030112366504575383,-3.015319002446071,-0.11209113893098954,0.37068239258635216,93
500,-0.5,13,4,5,-0.4073365725781065,-0.12723739145645696,-3.0180924057142238,-0.42034379144634704,2.8435181914517837,466
500,-0.5,6,13,5,-0.14478678919839183,-0.039871890946259425,-3.0225496143199138,-0.14696279916943156,0.7934971937294368,157
1000,-0.7,26,4,10,-0.24789040160682607,-0.07143012687450667,-3.0255185106083453,-0.24970427799328987,1.4914243102162565,232
1000,-0.3,6,4,10,-0.38813407791645815,-0.11996748463295404,-3.030767980465758,-0.38813407791645815,4.197039982328253,511
252,-0.3,26,4,5,-0.4525166363730866,-0.14505670939995197,-3.0406799007169436,-0.46961008955946437,5.376744186046512,727
500,-0.7,26,13,10,-0.08912503852466591,-0.023992365462974452,-3.0527828589664283,-0.09127725986947954,0.3201347935973041,93
252,-0.5,13,13,10,-0.13307659269818328,-0.03646895273966122,-3.052792984068655,-0.1420301079930697,1.2588212855235552,192
500,-0.5,6,26,5,-0.08621180393376304,-0.02318125528934445,-3.0987739285584865,-0.08621180393376304,0.3867290860981071,85
252,-0.5,13,26,10,-0.08289663969581662,-0.02226056282395006,-3.111431868774851,-0.08758653001767158,0.5378568473314025,108
500,-0.5,26,13,5,-0.1469802788469704,-0.0405131388621468,-3.1129355206025875,-0.15233814415297464,0.8709115540932844,157
252,-0.5,13,4,10,-0.3737905440740662,-0.11464652474781345,-3.1158703655879014,-0.3999490157692407,3.2480646247054863,538
