Lookback,Z_Thresh,Hold,TopN,Direction,Ann_Ret,Sharpe,Sortino,MaxDD,Trades,Total_Ret
20,1.5,5,20,LONG,0.09013020992279053,0.39371905457112644,0.5223462303271883,-0.6675837,1477,11.66629
60,2.5,5,10,LONG,0.10341525077819824,0.39028175605606596,0.5968821572817704,-0.9491911,1468,17.089283
60,2.0,10,5,LONG,0.09932708740234375,0.3896417855107093,0.5470982476432658,-0.7684497,735,15.217846
60,1.5,10,5,LONG,0.09784352779388428,0.3877018236739602,0.5384753343860206,-0.7801333,735,14.586135
60,1.0,10,5,LONG,0.09705698490142822,0.38568485026047683,0.5355303118894638,-0.78013337,735,14.260912
60,2.5,5,5,LONG,0.09997391700744629,0.3835944301533683,0.6213252069653966,-0.9639187,1468,15.500931
120,1.0,5,10,LONG,0.09166038036346436,0.3829611600799628,0.5400528132359339,-0.7276858,1457,12.199945
120,1.5,5,10,LONG,0.08989381790161133,0.3767272744373777,0.5325211451832992,-0.7221678,1457,11.585737
120,4.0,10,5,LONG,0.07307267189025879,0.3679598315668686,0.6774469116006728,-0.9517337,715,6.964122
10,2.0,10,5,LONG,0.09003841876983643,0.3672652211429078,0.5043361134385695,-0.67557967,740,11.634949
120,4.0,10,10,LONG,0.07150304317474365,0.36577997339572127,0.6731891563071424,-0.9516194,715,6.6284275
120,4.0,10,20,LONG,0.07150304317474365,0.36577997339572127,0.6731891563071424,-0.9516194,715,6.6284275
60,1.0,5,20,LONG,0.0819162130355835,0.36311619853877264,0.47203853077327873,-0.68181396,1469,9.139308
20,3.0,10,10,LONG,0.08281564712524414,0.36203290575373787,0.5693896021605936,-0.80494606,734,9.390259
20,3.0,10,20,LONG,0.08227193355560303,0.3610479549053923,0.56782462924997,-0.80494595,734,9.2378645
120,1.5,10,5,LONG,0.08736193180084229,0.360826347950451,0.49210032948710747,-0.75247467,729,10.753344
120,1.0,10,5,LONG,0.08736193180084229,0.360826347950451,0.49210032948710747,-0.75247467,729,10.753344
120,2.0,10,5,LONG,0.08711588382720947,0.3592195022657215,0.5004721638810287,-0.79283947,729,10.67534
20,2.0,10,5,LONG,0.08308804035186768,0.35013015235517697,0.47837516061886604,-0.7663237,739,9.467436
20,1.0,10,5,LONG,0.0817265510559082,0.34708773310527785,0.47104556536936676,-0.7505671,739,9.08714
20,1.5,10,5,LONG,0.0817265510559082,0.34708773310527785,0.47104556536936676,-0.7505671,739,9.08714
60,1.5,5,20,LONG,0.07698535919189453,0.34319251004351653,0.45126470032204175,-0.68240833,1469,7.864274
40,1.0,5,20,LONG,0.07230246067047119,0.3273726329263958,0.41889282190480054,-0.67971313,1473,6.797637
120,5.0,5,5,SHORT,0.002698063850402832,0.32580456352874315,0.4459339862669835,-0.9315636,1274,0.08249867
120,5.0,5,10,SHORT,0.002698063850402832,0.32580456352874315,0.4459339862669835,-0.9315636,1274,0.08249867
120,5.0,5,20,SHORT,0.002698063850402832,0.32580456352874315,0.4459339862669835,-0.9315636,1274,0.08249867
40,1.5,5,20,LONG,0.07051026821136475,0.32003695672527377,0.4103337334393173,-0.65161777,1473,6.4231973
60,1.5,5,10,LONG,0.07157337665557861,0.3151350088876119,0.4371260888494497,-0.68230575,1469,6.6431713
60,1.0,5,10,LONG,0.07012510299682617,0.31056275823601126,0.430026419020194,-0.69295573,1469,6.3450127
120,1.0,3,20,LONG,0.0670614242553711,0.3083035928785467,0.4091912627480564,-0.6980487,2428,5.750863
120,1.0,3,10,LONG,0.06708800792694092,0.2998384200381776,0.4338869961745633,-0.7552662,2428,5.755814
