low_bubble_threshold,leverage_multiplier,leverage_hold_days,high_bubble_threshold,uvxy_allocation,uvxy_hold_days,Total Return,Annual Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Annual Vol
-0.9,1.2,40,0.85,0.5,30,5.057841750821697,0.06314221617658466,0.5474897682002011,15.529498239178348,-0.16648805858679816,0.11533040404418185
-0.9,1.2,60,0.85,0.3,50,2.6991624712150326,0.04546647052939834,0.5472448965930459,15.358699465594798,-0.14398694998928574,0.08308249343658859
-0.92,1.3,60,0.85,0.4,30,3.84128081331722,0.05507207931442393,0.5466779161312805,16.31341579634362,-0.1578482864203149,0.10073953545472797
-0.88,1.1,60,0.85,0.3,40,2.555592394453488,0.044060736392964595,0.5463608527236842,15.318429932062337,-0.1513666618893329,0.08064402157166962
-0.95,1.2,50,0.85,0.3,40,2.9215000109561764,0.04754268233845793,0.5458453453822136,14.543296312142495,-0.17507824696824748,0.08709918063910106
-0.95,1.3,60,0.85,0.3,40,2.957989669047101,0.04787252150649701,0.5450639039571256,14.45028186575072,-0.17507824696824736,0.08782919059388426
-0.88,1.4,40,0.85,0.4,30,3.469075730359804,0.05220706600304936,0.5447594694964302,15.097481430424903,-0.14463879066501306,0.09583507754589199
-0.95,1.2,40,0.85,0.3,50,3.1264601114033512,0.04935825052494125,0.5443138736073427,14.148111095155842,-0.1750782469682476,0.09067975834940285
-0.88,1.2,50,0.85,0.3,30,2.1632449745995075,0.03991958199617085,0.5441869758009747,14.607098521180228,-0.1566122860615361,0.07335637156220846
-0.88,1.2,40,0.85,0.5,30,4.989931139258141,0.06273490066208565,0.5437647007785733,15.421004213678367,-0.16648805858679805,0.11537141078164975
-0.95,1.4,50,0.85,0.3,30,2.5744042189587293,0.044248017790814886,0.5437122752762082,13.98607662647427,-0.17507824696824748,0.08138131104054382
-0.95,1.2,60,0.85,0.4,30,4.467498760304769,0.059443482919473434,0.5432403830388454,15.106134368894947,-0.23124978281508368,0.10942390288982404
-0.95,1.1,50,0.85,0.3,50,3.0097293940591463,0.048335209096080245,0.5429853872019549,14.19663780978526,-0.17507824696824736,0.08901751361147169
-0.9,1.1,40,0.85,0.3,50,2.60462252986787,0.04454687263774626,0.5425536360575196,14.960837684009713,-0.13280591344162673,0.08210593327039017
-0.95,1.4,60,0.85,0.3,50,3.0862150059072153,0.04900873161675712,0.5424931161731715,14.185868201249427,-0.17507824696824736,0.09033982212064204
-0.92,1.1,50,0.85,0.4,30,3.155637988657917,0.04960960014644855,0.5423109511348422,15.098693324609194,-0.16700219794934712,0.09147814559642452
-0.9,1.3,60,0.85,0.4,30,3.7647504560679277,0.054500796989831235,0.5407362419136205,16.120481290786838,-0.15784828642031457,0.1007899836655251
-0.92,1.4,40,0.85,0.3,30,2.252135932339163,0.04089964633105736,0.5404882835778853,14.025690672669663,-0.154752413165826,0.07567166129913648
-0.9,1.1,50,0.85,0.3,40,2.424362532071151,0.04272700988063893,0.5402748267528493,15.188714937881654,-0.17430845135234685,0.07908384356427652
-0.88,1.2,60,0.85,0.3,50,2.6403498122628473,0.044897103835891405,0.5398595293380213,15.153510275054797,-0.1499628240371983,0.08316441851261658
-0.92,1.4,50,0.85,0.3,30,2.1845735684099843,0.04015714348503896,0.5394819846329658,14.357509109596347,-0.14550083374999057,0.07443648653505955
-0.88,1.1,40,0.85,0.3,50,2.5773380735217364,0.044277139964759904,0.5390781387199317,14.861566220585503,-0.13354451466203432,0.08213492031025078
-0.95,1.3,50,0.85,0.3,40,2.8703925609232663,0.04707569004091239,0.5389882469209412,14.327463441583122,-0.1750782469682476,0.08734084705898504
-0.88,1.4,60,0.85,0.3,30,2.505594422383925,0.043558289094669744,0.538477426705026,15.319992967555887,-0.1632850745904313,0.08089157861492058
-0.95,1.3,40,0.85,0.3,50,3.0757219997205496,0.04891705588561468,0.5381911167105874,13.962765636650008,-0.17507824696824748,0.09089160777047878
-0.95,1.4,60,0.85,0.3,40,2.9048532991219305,0.04739122255786543,0.5379582456836863,14.22358642039632,-0.17507824696824748,0.08809461131623023
-0.95,1.3,60,0.85,0.4,30,4.39436716577042,0.058958671432888465,0.5378388907549116,14.930259657570351,-0.2312497828150838,0.10962143579861613
-0.92,1.1,60,0.85,0.5,30,5.462185792608247,0.06547972099505706,0.5376118452547495,16.45793791754174,-0.19077599465524464,0.12179739262260718
-0.88,1.1,50,0.85,0.3,40,2.401779594091844,0.04249252447666052,0.537076186268335,15.097749956258296,-0.17430845135234774,0.07911824348776902
-0.9,1.3,40,0.85,0.5,30,4.874002633876943,0.06202916287041438,0.5366295865605349,15.187535317914213,-0.16648805858679816,0.115590277584177
-0.95,1.2,50,0.85,0.3,50,2.957665300603809,0.04786960242032712,0.5364440458772382,14.005192649007071,-0.17507824696824748,0.08923503352907337
-0.92,1.2,60,0.85,0.3,40,2.4898451853161703,0.04339858500121618,0.5362128769753605,14.982435009704714,-0.15893826018317814,0.0809353651594801
-0.9,1.1,60,0.85,0.5,30,5.42798163359949,0.06528753810366883,0.535977832199859,16.40519390640715,-0.19077599465524497,0.1218101462064274
-0.92,1.3,60,0.85,0.3,50,2.62072064776038,0.04470509413622703,0.5359433162937802,14.988700836297403,-0.1424167624553796,0.08341384765347402
-0.9,1.2,40,0.85,0.3,40,2.2616472220925155,0.04100297579293932,0.5342369713046334,13.98461268855701,-0.12329359667624473,0.07675053954578996
-0.92,1.3,50,0.85,0.3,40,2.4663107631971166,0.043158633476242825,0.5338622196327293,14.9276339646017,-0.1369387587180364,0.08084226957647205
-0.92,1.4,60,0.85,0.4,30,3.6882336887651324,0.05392068489199642,0.5334989225057818,15.849250457568951,-0.1605717193964311,0.10106990401918207
-0.88,1.1,60,0.85,0.5,30,5.376706877333338,0.06499758219004481,0.533479793115134,16.32853775509533,-0.19077599465524397,0.12183700869063137
-0.9,1.3,50,0.85,0.3,30,2.106202808329139,0.039276551631112655,0.5328972727869478,14.231282620999263,-0.16379833188625748,0.0737037955283652
-0.95,1.4,60,0.85,0.4,30,4.321947297807112,0.05847228049816677,0.5323675879888083,14.748305177444273,-0.23124978281508368,0.10983441106748221
-0.92,1.1,40,0.85,0.4,30,3.174210605431159,0.049768705482599485,0.5321101722932164,14.25837657444759,-0.18435034358367441,0.0935308289035578
-0.95,1.4,50,0.85,0.3,40,2.819764652227001,0.0466071688201537,0.5320382197930978,14.104209987457748,-0.17507824696824748,0.08760116677008387
-0.95,1.4,40,0.85,0.3,50,3.0254283546629672,0.048474458513252605,0.5319853535125253,13.771237025041394,-0.1750782469682477,0.09111991184191746
