ma_window,z_window,buy_threshold,short_threshold,hold_hours,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades,Win_Rate
100,200,0.5,0.92,8,10,-0.6335273908458154,-0.8198754647052938,-0.1617785679934559,-0.20620388287973712,396,0.49747474747474746
50,100,0.8,0.85,8,10,-0.6344713441877808,-0.9810880258147994,-0.12591851017817712,-0.15590839462542438,413,0.4406779661016949
100,200,0.6,0.92,8,20,-0.6354145875555286,-0.746230282360029,-0.1596277109963795,-0.1964944958213648,396,0.49242424242424243
100,200,0.6,0.85,8,20,-0.6445248452076442,-0.7577358374711741,-0.11161200989609898,-0.14663028687845892,396,0.5
100,200,0.8,0.9,8,10,-0.651235440895901,-0.8686513435426303,-0.17564533250527337,-0.1797326848005304,390,0.4846153846153846
100,100,0.8,0.97,4,10,-0.6554936490953425,-0.8532158443047394,-0.2449955012778382,-0.306134302493163,792,0.47853535353535354
100,100,0.8,0.95,4,10,-0.6596440515895633,-0.8735860060005934,-0.2307636244650586,-0.2844212413367797,797,0.47176913425345046
100,200,0.7,0.95,8,20,-0.6609079229876123,-0.7926138833909776,-0.21872673861861658,-0.25577199240628123,396,0.45707070707070707
50,200,0.8,0.9,8,20,-0.6616294291792469,-0.6987288347392221,-0.21756493978635139,-0.24035000233930603,395,0.4936708860759494
100,200,0.6,0.95,8,20,-0.6710420988672074,-0.7666892072536395,-0.20511806888160378,-0.2401599643041905,396,0.4797979797979798
50,200,0.6,0.97,8,10,-0.6711139217616459,-0.6976708362664581,-0.2785526082093076,-0.32923138578313216,402,0.472636815920398
100,200,0.9,0.95,8,10,-0.6776771010120904,-0.673703562975206,-0.2936611465705292,-0.3265295289161433,346,0.5057803468208093
100,100,0.7,0.95,4,10,-0.6818172446899509,-0.8648105205104462,-0.22789288601140245,-0.30206055136951815,812,0.4630541871921182
100,200,0.9,0.95,8,20,-0.6834824873209133,-0.6811575615441725,-0.29444593819609266,-0.32028983116347565,346,0.5057803468208093
100,100,0.9,0.9,8,10,-0.7062236515613678,-0.9023636394762979,-0.2954623531472452,-0.33215865393261534,372,0.43010752688172044
100,200,0.5,0.95,8,10,-0.7113606658741982,-0.902480432311239,-0.22213036170364542,-0.2704588466643796,396,0.4722222222222222
100,100,0.7,0.92,4,10,-0.714091387792063,-1.01532495235502,-0.20880324919705895,-0.24693692509829623,813,0.46371463714637146
50,200,0.5,0.85,8,20,-0.7166232846665463,-0.8968090455625849,-0.1333914595815916,-0.149858689481421,403,0.4987593052109181
50,100,0.9,0.92,8,20,-0.7232996204075045,-0.6908303155876735,-0.3459189512044196,-0.43529432895366893,355,0.4422535211267606
50,200,0.8,0.97,4,10,-0.7318603497538569,-1.0056268271330124,-0.3449785974821995,-0.39513076588749274,775,0.46064516129032257
100,200,0.5,0.97,8,10,-0.7327243079320086,-0.9837264769935868,-0.2487800860029864,-0.2919932098369321,396,0.4797979797979798
50,200,0.8,0.9,4,10,-0.7344560380047033,-0.9564320153612631,-0.2561990585532571,-0.3045739228690886,789,0.4372623574144487
50,100,0.9,0.92,8,10,-0.7387016110276796,-0.7069723470242567,-0.3512379314642845,-0.43160866463061875,355,0.4450704225352113
50,200,0.6,0.95,8,20,-0.7395629070036841,-0.703911890608649,-0.2684080393072238,-0.30706061729533773,402,0.48258706467661694
