threshold,hold_period,top_n,annual_return,sharpe,max_dd,win_rate,total_return
-0.45,1,15,-78.78994458712344,-6.769832359663142,-94.53547917496847,28.02547770700637,-94.48843973293103
-0.45,1,20,-79.13536028560138,-7.0217314714825845,-94.73228012883463,27.176220806794056,-94.65501434388374
-0.45,1,25,-78.68433047983964,-7.1561850166131435,-94.52552716243004,24.628450106157114,-94.43703376825992
-0.45,1,30,-78.62553929990406,-7.300156326739712,-94.49084763655519,25.690021231422506,-94.40832198925555
-0.45,2,5,-47.178620815887406,-2.253881653875156,-70.14891014149414,46.28450106157113,-69.66680212682125
-0.45,2,10,-46.20852054939731,-2.6260231057893555,-68.90233212897417,41.6135881104034,-68.61727235235891
-0.45,2,15,-47.67502672201768,-2.9352951496279673,-70.79614794958306,41.18895966029724,-70.19742739785654
-0.45,2,20,-47.91599616275201,-3.0633540565186643,-71.23080265401964,40.12738853503185,-70.45343742008885
-0.45,2,25,-48.56735674998644,-3.202113170845124,-71.88781347933497,40.552016985138,-71.14031080960919
-0.45,2,30,-49.22898282038047,-3.320120649554488,-72.58829313433677,39.490445859872615,-71.83031229537944
-0.45,4,5,-16.955829648603228,-0.6514631305498525,-35.61460153381045,50.955414012738856,-29.33815705599465
-0.45,4,10,-12.874074000062407,-0.5664467801731728,-33.690271415692216,48.19532908704883,-22.708336677792364
